question,answer
"What is the area of a parallelogram with base 5 cm and height 3 cm?","Area is base × height. Calculate: 5 × 3 = 15. So, the area is 15 cm²."
"Solve: x^2 + 2x − 8 = 0.","Factorize: (x + 4)(x − 2) = 0. So, x = −4 or x = 2."
"What is the cosine rule?","The cosine rule is a^2 = b^2 + c^2 − 2bc cos(A) for a triangle."
"What is the gradient of the line through (2, 1) and (4, 5)?","Gradient is (y2 − y1)/(x2 − x1). Calculate: (5 − 1)/(4 − 2) = 4/2 = 2."
"Solve for x: 3^x = 27.","Since 27 = 3^3, x = 3. So, x = 3."
"What is the integral of 4x^3?","The integral of x^n is (x^(n+1))/(n+1). For 4x^3, n = 3. So, (4 × x^4)/4 = x^4 + C."
"What is the probability of rolling an even number on a die?","A die has 6 faces, 3 are even (2, 4, 6). Probability is 3/6 = 1/2."
"Solve: 2x^2 + 3x − 2 = 0.","Factorize: (2x − 1)(x + 2) = 0. So, x = 1/2 or x = −2."
"Simplify: (3x^2)^2.","Calculate: (3x^2)^2 = 3^2 × (x^2)^2 = 9x^4."
"What is the derivative of x^4 − 2x^2?","Differentiate each term: For x^4, 4x^3; for −2x^2, −4x. So, the derivative is 4x^3 − 4x."
"What is the equation of a circle with center (0, 0) and radius 5?","The equation is x^2 + y^2 = r^2. Here, r = 5. So, x^2 + y^2 = 25."
"Solve for x: 5x + 7 ≤ 22.","Subtract 7: 5x ≤ 15. Divide by 5: x ≤ 3."
"What is the volume of a cylinder with radius 2 cm and height 5 cm? (Use π = 3.14)","Volume is π × radius^2 × height. Calculate: 3.14 × 2^2 × 5 = 62.8 cm³."
"Solve: x^2 − 6x + 9 = 0.","Factorize: (x − 3)^2 = 0. So, x = 3."
"What is the derivative of sin(x)?","The derivative of sin(x) is cos(x)."
"Simplify: 5x^2 − 2x^2 + x.","Combine like terms: 5x^2 − 2x^2 = 3x^2. Then, 3x^2 + x."
"What is the probability of drawing an ace from a deck of 52 cards?","There are 4 aces. Probability is 4/52 = 1/13."
"Solve for x: 2^(x+1) = 16.","Since 16 = 2^4, x + 1 = 4. So, x = 3."
"What is the integral of 1/x?","The integral of 1/x is ln|x| + C."
"What is the angle sum of a quadrilateral?","The sum of angles in a quadrilateral is 360 degrees."
"Solve: 3x^2 − 27 = 0.","Add 27: 3x^2 = 27. Divide by 3: x^2 = 9. So, x = ±3."
"What is the derivative of cos(x)?","The derivative of cos(x) is −sin(x)."
"Simplify: (4x^3)/(2x).","Divide: 4 ÷ 2 = 2, x^3 ÷ x = x^2. So, the answer is 2x^2."
"What is the distance between (1, 1) and (5, 5)?","Use the distance formula: √[(5 − 1)^2 + (5 − 1)^2] = √[16 + 16] = √32 = 4√2."
"Solve for x: x^2 + 4x − 12 = 0.","Factorize: (x + 6)(x − 2) = 0. So, x = −6 or x = 2."
"What is the integral of 5x^4?","The integral of x^n is (x^(n+1))/(n+1). For 5x^4, (5x^5)/5 = x^5 + C."
"What is the equation of a line through (0, 4) with gradient −2?","Use y = mx + c. Substitute: 4 = −2(0) + c, c = 4. So, y = −2x + 4."
"Solve for x: 4^(x−1) = 64.","Since 64 = 4^3, x − 1 = 3. So, x = 4."
"What is the volume of a sphere with radius 3 cm? (Use π = 3.14)","Volume is (4/3) × π × radius^3. Calculate: (4/3) × 3.14 × 27 = 113.04 cm³."
"Solve: x^2 − 2x − 15 = 0.","Factorize: (x − 5)(x + 3) = 0. So, x = 5 or x = −3."
"What is the derivative of x^5?","The derivative of x^n is n × x^(n−1). For x^5, 5x^4."
"Simplify: 6x^4 − 3x^4.","Combine like terms: 6x^4 − 3x^4 = 3x^4."
"What is the probability of rolling a number less than 3 on a die?","Faces less than 3 are 1, 2. Probability is 2/6 = 1/3."
"What is 15 + 27?","Add the tens: 10 + 20 = 30. Add the units: 5 + 7 = 12. Total: 30 + 12 = 42. So, the answer is 42."
"What is 3/4 of 24?","Divide 24 by 4 to get one part: 24 ÷ 4 = 6. Multiply by 3: 6 × 3 = 18. So, 3/4 of 24 is 18."
"What is the perimeter of a rectangle with length 5 cm and width 3 cm?","Perimeter is 2 × (length + width). Add: 5 + 3 = 8. Multiply: 2 × 8 = 16. So, the perimeter is 16 cm."
"What is 0.75 as a fraction?","Write 0.75 as 75/100. Simplify by dividing by 25: 75 ÷ 25 = 3, 100 ÷ 25 = 4. So, 0.75 = 3/4."
"How many sides does a pentagon have?","A pentagon has 5 sides. So, the answer is 5."
"What is 56 − 19?","Subtract 10: 56 − 10 = 46. Subtract 9: 46 − 9 = 37. So, 56 − 19 = 37."
"What is 2/5 + 1/5?","Add numerators: 2 + 1 = 3. Keep denominator: 5. So, 2/5 + 1/5 = 3/5."
"What is the area of a square with side 4 cm?","Area is side × side. Calculate: 4 × 4 = 16. So, the area is 16 cm²."
"Convert 25% to a decimal.","Divide by 100: 25 ÷ 100 = 0.25. So, 25% = 0.25."
"What is the next number in the pattern 2, 4, 6, 8?","Each number increases by 2: 2 + 2 = 4, 4 + 2 = 6, 6 + 2 = 8. Next: 8 + 2 = 10. So, the answer is 10."
"What is 8 × 9?","Multiply: 8 × 9 = 72. So, the answer is 72."
"What is 1/3 of 18?","Divide 18 by 3: 18 ÷ 3 = 6. So, 1/3 of 18 is 6."
"What is the circumference of a circle with radius 2 cm? (Use π = 3.14)","Circumference is 2 × π × radius. Calculate: 2 × 3.14 × 2 = 12.56. So, the circumference is 12.56 cm."
"What is 0.4 + 0.7?","Add decimals: 0.4 + 0.7 = 1.1. So, the answer is 1.1."
"How many faces does a cube have?","A cube has 6 faces. So, the answer is 6."
"What is 100 ÷ 5?","Divide: 100 ÷ 5 = 20. So, the answer is 20."
"What is 2/3 − 1/3?","Subtract numerators: 2 − 1 = 1. Keep denominator: 3. So, 2/3 − 1/3 = 1/3."
"What is the area of a triangle with base 6 cm and height 4 cm?","Area is (1/2) × base × height. Calculate: (1/2) × 6 × 4 = 12. So, the area is 12 cm²."
"Convert 1/2 to a percentage.","Divide: 1 ÷ 2 = 0.5. Multiply by 100: 0.5 × 100 = 50%. So, 1/2 = 50%."
"What is the next number in the pattern 5, 10, 15, 20?","Each number increases by 5: 5 + 5 = 10, 10 + 5 = 15, 15 + 5 = 20. Next: 20 + 5 = 25. So, the answer is 25."
"What is −5 + 8?","Move 5 steps left from 0, then 8 steps right: 8 − 5 = 3. So, −5 + 8 = 3."
"What is 2^3?","Calculate 2 × 2 × 2: 2 × 2 = 4, 4 × 2 = 8. So, 2^3 = 8."
"Solve for x: 3x = 12.","Divide both sides by 3: x = 12 ÷ 3 = 4. So, x = 4."
"What is the value of 5! (factorial)?","Calculate 5 × 4 × 3 × 2 × 1: 5 × 4 = 20, 20 × 3 = 60, 60 × 2 = 120, 120 × 1 = 120. So, 5! = 120."
"What is sin(30 degrees)?","In trigonometry, sin(30°) is a standard value. It equals 0.5."
"What is −10 − (−3)?","Subtracting a negative is adding: −10 + 3 = −7. So, −10 − (−3) = −7."
"What is 4^2?","Calculate 4 × 4: 4 × 4 = 16. So, 4^2 = 16."
"Solve for y: 2y + 5 = 11.","Subtract 5: 2y = 11 − 5 = 6. Divide by 2: y = 6 ÷ 2 = 3. So, y = 3."
"What is the sum of angles in a triangle?","The sum of angles in a triangle is always 180 degrees."
"What is the probability of rolling a 6 on a fair die?","A die has 6 faces, so the probability is 1/6."
"What is (−2) × (−3)?","Two negatives make a positive: −2 × −3 = 6. So, the answer is 6."
"Simplify: 2x + 3x.","Combine like terms: 2x + 3x = 5x. So, the answer is 5x."
"Solve for x: x/4 = 8.","Multiply both sides by 4: x = 8 × 4 = 32. So, x = 32."
"What is cos(60 degrees)?","In trigonometry, cos(60°) is a standard value. It equals 0.5."
"What is the area of a circle with radius 3 cm? (Use π = 3.14)","Area is π × radius^2. Calculate: 3.14 × 3^2 = 3.14 × 9 = 28.26. So, the area is 28.26 cm²."
"What is 7 − (−2)?","Subtracting a negative is adding: 7 + 2 = 9. So, 7 − (−2) = 9."
"Simplify: 4a − 2a + 5.","Combine like terms: 4a − 2a = 2a. Then, 2a + 5. So, the answer is 2a + 5."
"Solve for x: 5x − 3 = 12.","Add 3: 5x = 12 + 3 = 15. Divide by 5: x = 15 ÷ 5 = 3. So, x = 3."
"What is the probability of drawing a red card from a standard deck?","A deck has 52 cards, 26 are red. Probability is 26/52 = 1/2."
"What is the value of 3! (factorial)?","Calculate 3 × 2 × 1: 3 × 2 = 6, 6 × 1 = 6. So, 3! = 6."
"Solve x^2 = 16.","Take the square root: x = ±√16 = ±4. So, x = 4 or x = −4."
"What is the gradient of the line y = 2x + 3?","In y = mx + c, the gradient is m. Here, m = 2. So, the gradient is 2."
"Solve for x: 2x^2 − 8 = 0.","Add 8: 2x^2 = 8. Divide by 2: x^2 = 4. Take the square root: x = ±2. So, x = 2 or x = −2."
"What is the derivative of x^3?","The derivative of x^n is n × x^(n−1). For x^3, n = 3. So, 3 × x^(3−1) = 3x^2."
"What is the distance between points (1, 2) and (4, 6)?","Use the distance formula: √[(x2 − x1)^2 + (y2 − y1)^2]. Calculate: √[(4 − 1)^2 + (6 − 2)^2] = √[3^2 + 4^2] = √[9 + 16] = √25 = 5. So, the distance is 5 units."
"Simplify: (2x^2)(3x^3).","Multiply coefficients: 2 × 3 = 6. Add exponents: x^2 × x^3 = x^(2+3) = x^5. So, the answer is 6x^5."
"What is the integral of 2x?","The integral of x^n is (x^(n+1))/(n+1). For 2x, n = 1. So, (2 × x^(1+1))/(1+1) = (2x^2)/2 = x^2 + C."
"Solve: x^2 + 5x + 6 = 0.","Factorize: (x + 2)(x + 3) = 0. So, x = −2 or x = −3."
"What is tan(45 degrees)?","In trigonometry, tan(45°) is a standard value. It equals 1."
"What is the midpoint of (2, 3) and (6, 7)?","Midpoint is [(x1 + x2)/2, (y1 + y2)/2]. Calculate: [(2 + 6)/2, (3 + 7)/2] = [8/2, 10/2] = (4, 5)."
"Solve for x: 3x^2 − 12x + 9 = 0.","Factor out 3: 3(x^2 − 4x + 3) = 0. Factorize: 3(x − 1)(x − 3) = 0. So, x = 1 or x = 3."
"What is the derivative of 4x^2?","The derivative of x^n is n × x^(n−1). For 4x^2, n = 2. So, 4 × 2 × x^(2−1) = 8x."
"Simplify: (x^4)/(x^2).","Subtract exponents: x^4 ÷ x^2 = x^(4−2) = x^2. So, the answer is x^2."
"What is the equation of a line through (1, 2) with gradient 3?","Use y = mx + c. Substitute: 2 = 3(1) + c, c = −1. So, y = 3x − 1."
"Solve for x: 2^x = 8.","Since 8 = 2^3, x = 3. So, x = 3."
"What is the integral of 3x^2?","The integral of x^n is (x^(n+1))/(n+1). For 3x^2, n = 2. So, (3 × x^(2+1))/(2+1) = x^3 + C."
"Solve for x: x^2 − 4x − 5 = 0.","Factorize: (x − 5)(x + 1) = 0. So, x = 5 or x = −1."
"What is the sine rule?","The sine rule is a/sin(A) = b/sin(B) = c/sin(C) for a triangle’s sides and angles."
"What is the distance from (0, 0) to (3, 4)?","Use the distance formula: √[(3 − 0)^2 + (4 − 0)^2] = √[9 + 16] = √25 = 5. So, the distance is 5 units."
"Simplify: 2x^3 + 3x^3.","Combine like terms: 2x^3 + 3x^3 = 5x^3."
"Solve for x: 4x^2 − 16 = 0.","Add 16: 4x^2 = 16. Divide by 4: x^2 = 4. Take the square root: x = ±2."
"What is the derivative of 5x + 2?","The derivative of ax + b is a. Here, a = 5. So, the derivative is 5."
"What is the area of a parallelogram with base 5 cm and height 3 cm?","Area is base × height. Calculate: 5 × 3 = 15. So, the area is 15 cm²."
"Solve: x^2 + 2x − 8 = 0.","Factorize: (x + 4)(x − 2) = 0. So, x = −4 or x = 2."
"What is the cosine rule?","The cosine rule is a^2 = b^2 + c^2 − 2bc cos(A) for a triangle."
"What is the gradient of the line through (2, 1) and (4, 5)?","Gradient is (y2 − y1)/(x2 − x1). Calculate: (5 − 1)/(4 − 2) = 4/2 = 2."
"Solve for x: 3^x = 27.","Since 27 = 3^3, x = 3. So, x = 3."
"What is the integral of 4x^3?","The integral of x^n is (x^(n+1))/(n+1). For 4x^3, n = 3. So, (4 × x^4)/4 = x^4 + C."
"What is the probability of rolling an even number on a die?","A die has 6 faces, 3 are even (2, 4, 6). Probability is 3/6 = 1/2."
"Solve: 2x^2 + 3x − 2 = 0.","Factorize: (2x − 1)(x + 2) = 0. So, x = 1/2 or x = −2."
"Simplify: (3x^2)^2.","Calculate: (3x^2)^2 = 3^2 × (x^2)^2 = 9x^4."
"What is the derivative of x^4 − 2x^2?","Differentiate each term: For x^4, 4x^3; for −2x^2, −4x. So, the derivative is 4x^3 − 4x."
"What is the equation of a circle with center (0, 0) and radius 5?","The equation is x^2 + y^2 = r^2. Here, r = 5. So, x^2 + y^2 = 25."
"Solve for x: 5x + 7 ≤ 22.","Subtract 7: 5x ≤ 15. Divide by 5: x ≤ 3."
"What is the volume of a cylinder with radius 2 cm and height 5 cm? (Use π = 3.14)","Volume is π × radius^2 × height. Calculate: 3.14 × 2^2 × 5 = 62.8 cm³."
"Solve: x^2 − 6x + 9 = 0.","Factorize: (x − 3)^2 = 0. So, x = 3."
"What is the derivative of sin(x)?","The derivative of sin(x) is cos(x)."
"Simplify: 5x^2 − 2x^2 + x.","Combine like terms: 5x^2 − 2x^2 = 3x^2. Then, 3x^2 + x."
"What is the probability of drawing an ace from a deck of 52 cards?","There are 4 aces. Probability is 4/52 = 1/13."
"Solve for x: 2^(x+1) = 16.","Since 16 = 2^4, x + 1 = 4. So, x = 3."
"What is the integral of 1/x?","The integral of 1/x is ln|x| + C."
"What is the angle sum of a quadrilateral?","The sum of angles in a quadrilateral is 360 degrees."
"Solve: 3x^2 − 27 = 0.","Add 27: 3x^2 = 27. Divide by 3: x^2 = 9. So, x = ±3."
"What is the derivative of cos(x)?","The derivative of cos(x) is −sin(x)."
"Simplify: (4x^3)/(2x).","Divide: 4 ÷ 2 = 2, x^3 ÷ x = x^2. So, the answer is 2x^2."
"What is the distance between (1, 1) and (5, 5)?","Use the distance formula: √[(5 − 1)^2 + (5 − 1)^2] = √[16 + 16] = √32 = 4√2."
"Solve for x: x^2 + 4x − 12 = 0.","Factorize: (x + 6)(x − 2) = 0. So, x = −6 or x = 2."
"What is the integral of 5x^4?","The integral of x^n is (x^(n+1))/(n+1). For 5x^4, (5x^5)/5 = x^5 + C."
"What is the equation of a line through (0, 4) with gradient −2?","Use y = mx + c. Substitute: 4 = −2(0) + c, c = 4. So, y = −2x + 4."
"Solve for x: 4^(x−1) = 64.","Since 64 = 4^3, x − 1 = 3. So, x = 4."
"What is the volume of a sphere with radius 3 cm? (Use π = 3.14)","Volume is (4/3) × π × radius^3. Calculate: (4/3) × 3.14 × 27 = 113.04 cm³."
"Solve: x^2 − 2x − 15 = 0.","Factorize: (x − 5)(x + 3) = 0. So, x = 5 or x = −3."
"What is the derivative of x^5?","The derivative of x^n is n × x^(n−1). For x^5, 5x^4."
"Simplify: 6x^4 − 3x^4.","Combine like terms: 6x^4 − 3x^4 = 3x^4."
"What is the probability of rolling a number less than 3 on a die?","Faces less than 3 are 1, 2. Probability is 2/6 = 1/3."
